Tuần,Ngày,Thứ,Tiết,Giáo viên,Môn học,Phòng
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:00 - 07:45,Hùng Đặng Minh,Sinh học,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:00 - 07:45,Hùng Đặng Minh,Sinh học,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:50 - 08:35,Hùng Đặng Minh,Sinh học,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:50 - 08:35,Hùng Đặng Minh,Sinh học,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,08:50 - 09:35,Lan Đặng Thanh,Lịch sử,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,08:50 - 09:35,Lan Đặng Thanh,Lịch sử,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,09:40 - 10:25,Lan Đặng Thanh,Lịch sử,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,09:40 - 10:25,Lan Đặng Thanh,Lịch sử,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,10:30 - 11:15,Lan Đặng Thanh,Lịch sử,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,10:30 - 11:15,Lan Đặng Thanh,Lịch sử,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:00 - 13:45,Dũng Phạm Văn,Địa lý,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:00 - 13:45,Dũng Phạm Văn,Địa lý,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:50 - 14:35,Dũng Phạm Văn,Địa lý,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:50 - 14:35,Dũng Phạm Văn,Địa lý,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,14:40 - 15:25,Dũng Phạm Văn,Địa lý,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,14:40 - 15:25,Dũng Phạm Văn,Địa lý,102A
