WeekNumber,Date,Day,Slot,Start,End,Teacher,Subject,Room
1,2025-02-03,Monday,1,07:00,07:45,Đặng Xuân Phát,Toán,3
1,2025-02-03,Monday,2,07:50,08:35,Đặng Xuân Phát,Toán,3
1,2025-02-03,Monday,3,08:50,09:35,Đặng Xuân Phát,Toán,3
1,2025-02-03,Monday,4,09:40,10:25,Lê Thanh Hương,Vật lý,3
1,2025-02-03,Monday,5,10:30,11:15,Lê Thanh Hương,Vật lý,3
1,2025-02-03,Monday,6,13:00,13:45,Lê Thanh Hương,Vật lý,3
1,2025-02-03,Monday,7,13:50,14:35,Đặng Xuân Phát,Hóa học,3
1,2025-02-03,Monday,8,14:40,15:25,Đặng Xuân Phát,Hóa học,3
1,2025-02-03,Monday,9,15:30,16:15,Đặng Xuân Phát,Hóa học,3
1,2025-02-03,Monday,10,16:20,17:05,Trần Xuân Yến,Sinh học,3
1,2025-02-04,Tuesday,1,07:00,07:45,Trần Xuân Yến,Sinh học,3
1,2025-02-04,Tuesday,2,07:50,08:35,Trần Xuân Yến,Sinh học,3
1,2025-02-04,Tuesday,3,08:50,09:35,Lê Thị Hùng,Lịch sử,3
1,2025-02-04,Tuesday,4,09:40,10:25,Lê Thị Hùng,Lịch sử,3
1,2025-02-04,Tuesday,5,10:30,11:15,Lê Thị Hùng,Lịch sử,3
1,2025-02-04,Tuesday,6,13:00,13:45,Bùi Văn Lan,Dã ngoại,3
1,2025-02-04,Tuesday,7,13:50,14:35,Bùi Văn Lan,Dã ngoại,3
1,2025-02-04,Tuesday,8,14:40,15:25,Bùi Văn Lan,Dã ngoại,3
1,2025-02-04,Tuesday,9,15:30,16:15,Ngô Đức Tuấn,Tin học,3
1,2025-02-04,Tuesday,10,16:20,17:05,Ngô Đức Tuấn,Tin học,3
1,2025-02-05,Wednesday,1,07:00,07:45,Ngô Đức Tuấn,Tin học,3
1,2025-02-05,Wednesday,2,07:50,08:35,Ngô Ngọc Hạnh,Địa lý,3
1,2025-02-05,Wednesday,3,08:50,09:35,Ngô Ngọc Hạnh,Địa lý,3
1,2025-02-05,Wednesday,4,09:40,10:25,Ngô Ngọc Hạnh,Địa lý,3
1,2025-02-05,Wednesday,5,10:30,11:15,Đặng Minh Hùng,Bơi lội,3
1,2025-02-05,Wednesday,6,13:00,13:45,Đặng Minh Hùng,Bơi lội,3
1,2025-02-05,Wednesday,7,13:50,14:35,Đặng Minh Hùng,Bơi lội,3
1,2025-02-05,Wednesday,8,14:40,15:25,Đỗ Anh Dũng,Cầu lông,3
1,2025-02-05,Wednesday,9,15:30,16:15,Đỗ Anh Dũng,Cầu lông,3
1,2025-02-05,Wednesday,10,16:20,17:05,Đỗ Anh Dũng,Cầu lông,3
1,2025-02-06,Thursday,1,07:00,07:45,Hồ Ngọc Bình,Bóng Chuyền,3
1,2025-02-06,Thursday,2,07:50,08:35,Hồ Ngọc Bình,Bóng Chuyền,3
1,2025-02-06,Thursday,3,08:50,09:35,Hồ Ngọc Bình,Bóng Chuyền,3
