FullName,DateOfBirth,Gender,Address,Phone,ParentNames,Careers,Phones,ParentGenders
Nguyễn Phước Thành,15/08/2006,True,Bình Thuận,984149643,"['Hoàng Minh Nam', 'Đỗ Thanh Trang']","['Luật sư', 'Giáo viên']","[900690897, 923407084]","[False, False]"
Đặng Ngọc Hưng,20/05/2006,True,Bình Định,921274545,"['Dương Hồng Trang', 'Đặng Thanh Trang']","['Nhà báo', 'Nhà báo']","[914295010, 958722114]","[False, True]"
Vũ Thị Ngọc Ánh,02/10/2006,False,Bình Định,989548328,"['Dương Gia Tuấn', 'Dương Gia Hiếu']","['Nông dân', 'Nhà nước']","[971408441, 910162362]","[False, False]"
Trần Thu Ngân,09/03/2006,False,Bình Định,923151770,['Lê Hồng Long'],['Giáo viên'],[993259412],[False]
Hồ Thị Nam,10/06/2010,True,Nam Định,987128702,"['Dương Gia Tuấn', 'Hoàng Thanh Bình']","['Nông dân', 'Phát thanh viên']","[971408441, 990300878]","[False, False]"
Hoàng Xuân Nam,07/11/2007,False,Hà Nội,915189623,"['Ngô Minh Hương', 'Bùi Thị Tuấn']","['Bác sĩ', 'Phát thanh viên']","[984913783, 946622513]","[False, True]"
Bùi Xuân Nam,24/08/2006,False,Bình Định,936543674,"['Dương Hữu Hùng', 'Đỗ Hữu Tuấn']","['Nông dân', 'Kinh Doanh']","[959239235, 952249409]","[False, True]"
Lê Thị Yến,09/04/2005,True,Thái Bình,986352083,"['Bùi Thị Tuấn', 'Trần Xuân Dũng']","['Phát thanh viên', 'Nhà báo']","[946622513, 972675812]","[True, True]"
Phạm Minh Dũng,18/11/2006,False,Bình Định,968805224,"['Nguyễn Thị Linh', 'Bùi Anh Hương']","['Nhà nước', 'Luật sư']","[932631234, 963530348]","[False, True]"
Nguyễn Ngọc Long,06/04/2008,False,Bình Định,921525783,"['Phạm Minh Trang', 'Bùi Thanh Lan']","['Nhà Văn', 'Kinh Doanh']","[912965466, 923965354]","[True, False]"
Phạm Đức Hiếu,14/03/2010,False,Khánh Hòa,911952657,"['Huỳnh Hồng Hương', 'Ngô Đức Phát']","['Kỹ Sư', 'Kỹ Sư']","[997986519, 911318911]","[False, True]"
Trần Đức Long,30/08/2010,False,Tiền Giang,934232516,"['Đặng Đức Bình', 'Trần Quốc Dũng']","['Giáo viên', 'Nông dân']","[915671317, 922598769]","[False, True]"
